typecode,engines,body_class,model_name
BOOM,2,regional,RUTAN 202 Boomerang
BPAT,1,ga,R & B Bearhawk Patrol
BPOD,4,quad,SCALED 367 BiPod
BPUM,1,ga,BDC AERO Puma
BR14,1,ga,BREGUET 14 Replica
BR23,1,ga,BRM AERO Bristell B23
BR54,1,heli,BARNETT BRC-540
BR60,1,ga,BRUMBY 600
BR61,1,ga,BRUMBY 610 Evolution
BR8,1,ga,BRM AERO Bristell B8
BRAV,1,ga,TECNAM P-2004 Bravo
BRB2,1,heli,BRANTLY B-2
BREZ,1,ga,AEROSTYLE Breezer
BROU,1,ga,MAX HOLSTE MH-1521 Broussard
BS60,2,regional,BEECH-SFERMA 60 Marquis
BSTP,2,heli,BELL 214ST SuperTransport
BT36,1,ga,BEECH B36TC Bonanza
BT7,1,ga,BOEING T-7 Red Hawk
BTB2,1,ga,BAYKAR Bayraktar TB2
BTUB,1,ga,KIMBREL Dormoy Bathtub
BU20,3,widebody,AIRCRAFT HYDRO-FORMING Bushmaster 2000
BU31,1,ga,BUCKER Bü-131 Jungmann
BU33,1,ga,BUCKER Bü-133 Jungmeister
BU81,1,ga,BUCKER Bü-181 Bestmann
BUC,2,narrowbody,HAWKER SIDDELEY Buccaneer
BUCA,1,ga,ADVANCED AVIATION Buccaneer
BULT,1,ga,BROKAW BJ-520 Bullet
BUSH,1,ga,RAINBOW SKYREACH BushCat
BW60,1,ga,BLACKWING BW-600
BW6T,1,ga,BLACKWING BW-635
BX2,1,ga,BRANDLI BX-2 Cherry
C02T,2,regional,CESSNA 402 (turbine)
C04T,2,regional,CESSNA 404 (turbine)
C06T,1,ga,CESSNA 206 (turbine)
C07T,1,ga,CESSNA 207 (turbine)
C1,2,narrowbody,KAWASAKI C-1
C101,1,ga,CASA C-101 Aviojet
C10T,1,ga,CESSNA P210 (turbine)
C119,2,regional,FAIRCHILD (1) C-119 Flying Boxcar
C120,1,ga,CESSNA 120
C123,2,regional,FAIRCHILD (1) C-123 Provider
C125,3,widebody,NORTHROP C-125 Raider
C130,4,quad,LOCKHEED C-130H Hercules
C135,4,quad,BOEING WC-135
C140,1,ga,CESSNA 140
C141,4,quad,LOCKHEED C-141 Starlifter
C14T,2,regional,CESSNA 414 (turbine)
C15,4,quad,MCDONNELL DOUGLAS YC-15
C150,1,ga,CESSNA A150 Aerobat
C152,1,ga,CESSNA A152 Aerobat
C160,2,regional,TRANSALL C-160
C162,1,ga,CESSNA 162 Skycatcher
C17,4,quad,BOEING C-17 Globemaster 3
C170,1,ga,CESSNA 170
C172,1,ga,CESSNA 172 Skyhawk
C175,1,ga,CESSNA 175 Skylark
C177,1,ga,CESSNA 177 Cardinal
C180,1,ga,CESSNA 180 Skywagon 180
C182,1,ga,CESSNA 182 Skylane
C185,1,ga,CESSNA 185 Skywagon
C188,1,ga,CESSNA 188 AgWagon
C190,1,ga,CESSNA 190
C195,1,ga,CESSNA 195
C2,2,regional,GRUMMAN C-2 Greyhound
C205,1,ga,CESSNA 205
C206,1,ga,CESSNA 206 Stationair
C207,1,ga,CESSNA 207 Stationair 7
C208,1,ga,CESSNA 208 Caravan 1
C210,1,ga,CESSNA 210 Centurion
C212,2,regional,CASA C-212 Aviocar
C21T,2,regional,CESSNA 421 (turbine)
C22J,2,narrowbody,CAPRONI VIZZOLA C-22J Ventura
C240,1,ga,CESSNA T240 Corvalis TTx
C25A,2,narrowbody,CESSNA 525A Citation CJ2
C25B,2,narrowbody,CESSNA 525B Citation CJ3
C25C,2,narrowbody,CESSNA 525C Citation CJ4
C25M,2,narrowbody,CESSNA 525 Citation M2
C270,1,ga,CAUDRON C-270 Luciole
C27J,2,regional,ALENIA C-27J Spartan
C295,2,regional,CASA C-295 Persuader
C303,2,regional,CESSNA T303 Crusader
C306,1,ga,CEA-UFMG CEA-306 CB-10 Triathlon
C309,1,ga,CEA-UFMG CEA-309 Mehari
C30J,4,quad,LOCKHEED MARTIN C-130J Super Hercules
C310,2,regional,CESSNA 310
C311,1,ga,CEA-UFMG CEA-311 Anequim
C320,2,regional,CESSNA 320 Skyknight
C335,2,regional,CESSNA 335
C336,2,regional,CESSNA 336 Skymaster
C337,2,regional,CESSNA 337 Super Skymaster
C340,2,regional,CESSNA 340
C365,1,ga,EKW C-3605
C402,2,regional,CESSNA 402 Businessliner
C404,2,regional,CESSNA 404 Titan
C408,2,regional,CESSNA 408 SkyCourier
C411,2,regional,CESSNA 411
C414,2,regional,CESSNA 414 Chancellor
C42,1,ga,IKARUS C-42 Bison
C421,2,regional,CESSNA 421 Executive Commuter
C425,2,regional,CESSNA 425 Conquest 1
C441,2,regional,CESSNA 441 Conquest 2
C46,2,regional,CURTISS C-46 Commando
C500,2,narrowbody,CESSNA 500 Citation 1
C501,2,narrowbody,CESSNA 501 Citation 1SP
C510,2,narrowbody,CESSNA 510 Citation Mustang
C525,2,narrowbody,CESSNA 525 Citation CJ1
C526,2,narrowbody,CESSNA 526 CitationJet
C550,2,narrowbody,CESSNA 550 Citation 2
C551,2,narrowbody,CESSNA 551 Citation 2SP
C55B,2,narrowbody,CESSNA 550B Citation Bravo
C560,2,narrowbody,CESSNA 560 Citation 5
C56X,2,narrowbody,CESSNA 560XL Citation XLS
C5M,4,quad,LOCKHEED C-5 Super Galaxy
C650,2,narrowbody,CESSNA 650 Citation 7
C680,2,narrowbody,CESSNA 680 Citation Sovereign
C68A,2,narrowbody,CESSNA 680A Citation Latitude
C700,2,narrowbody,CESSNA 700 Citation Longitude
C72R,1,ga,CESSNA 172RG Cutlass RG
C750,2,narrowbody,CESSNA 750 Citation 10
C77R,1,ga,CESSNA 177RG Cardinal RG
C82,2,regional,FAIRCHILD (1) C-82 Packet
C82R,1,ga,CESSNA R182 Skylane RG
C82S,1,ga,CESSNA T182 Turbo Skylane
C82T,1,ga,CESSNA TR182 Turbo Skylane RG
C919,2,narrowbody,COMAC C-919
C97,4,quad,BOEING C-97 Stratofreighter
CA12,1,ga,COMP AIR CA-12 Comp Air 12
CA19,1,ga,COMMONWEALTH (1) CA-19 Boomerang
CA1P,1,ga,AEROCOMP CA-10 Comp Air 10
CA1T,1,ga,AEROCOMP CA-10T  Comp Air 10T
CA25,1,ga,COMMONWEALTH (1) CA-25 Winjeel
CA3,1,ga,AEROCOMP CA-3 Comp Air 3
CA4,1,ga,AEROCOMP CA-4 Comp Air 4
CA41,1,ga,CORVUS CA-41 Racer
CA6,1,ga,AEROCOMP CA-6 Comp Air 6
CA61,1,ga,CVJETKOVIC CA-61 Mini Ace
CA65,1,ga,CVJETKOVIC CA-65 Skyfly
CA7P,1,ga,AEROCOMP CA-7P Comp Air 7P
CA7T,1,ga,AEROCOMP CA-7T Comp Air 7T
CA8,1,ga,COMP AIR CA-8 Comp Air 8
CA9,1,ga,COMP AIR CA-9 Comp Air 9
CABI,1,ga,UNIVERSAL COMPOSITE Carbon Bird
CABN,1,ga,PARAMOUNT Cabinaire
CAD2,1,ga,CLASS Bush Caddy R-120
CAD4,1,ga,CLASS Bush Caddy L-160
CAJ,1,ga,AEROCOMP CA-J Comp Air Jet
CAML,1,ga,SOPWITH Camel Replica
CAMP,1,ga,GREGA GN-1 Aircamper
CAN4,1,ga,CAMPANA AN-4
CAPL,1,ga,CAPELLA Capella
CAR,1,ga,AEROCAR Aerocar
CARV,4,quad,AVIATION TRADERS ATL-98 Carvair
CASS,1,ga,CASSUTT Special
CAT,2,regional,CONSOLIDATED PBY Catalina
CAT1,1,ga,CREATIVE FLIGHT MPA Aerocat SR
CAT2,2,regional,CREATIVE FLIGHT MPA Aerocat TR
CAW,1,ga,CESSNA AW
CB1,1,ga,HATZ CB-1 Biplane
CC11,1,ga,CUB CRAFTERS CC-11 Carbon Cub
CC19,1,ga,CUB CRAFTERS CC-19 XCub
CD2,2,regional,CLAUDIUS DORNIER CD-2 Seastar
CDC6,1,ga,CESSNA DC-6
